ticker,close,date,high,low,month,open,volume,year,day,Month_Year,Monthly_Return
SHRIRAMFIN,1935.2,2023-10-27 05:30:00,2029.7,1851.0,10,1851.0,5011333,2023,27,2023-10,0.07654650645304861
BAJAJ-AUTO,5482.6,2023-10-19 05:30:00,5495.0,5245.0,10,5300.0,2838352,2023,19,2023-10,0.06720390862993564
BAJAJFINSV,1634.65,2023-10-06 05:30:00,1640.7,1551.05,10,1559.35,7384628,2023,6,2023-10,0.05970633042689055
COALINDIA,303.25,2023-10-10 05:30:00,303.9,287.8,10,288.25,23283411,2023,10,2023-10,0.053683113273106375
TATAMOTORS,667.1,2023-10-13 05:30:00,669.0,633.0,10,633.95,28011678,2023,13,2023-10,0.047334955648010046
ADANIENT,2423.5,2023-11-28 05:30:00,2512.4,2275.0,11,2301.0,11972275,2023,28,2023-11,0.08899323732278863
TRENT,2424.0,2023-11-07 05:30:00,2450.0,2181.7,11,2234.45,3419427,2023,7,2023-11,0.08543793659322962
EICHERMOT,3848.3,2023-11-15 05:30:00,3860.0,3672.1,11,3689.0,1914550,2023,15,2023-11,0.055659186920502535
APOLLOHOSP,5153.2,2023-11-03 05:30:00,5165.5,4937.05,11,4950.75,1262458,2023,3,2023-11,0.05447104563126648
ADANIPORTS,837.7,2023-11-28 05:30:00,854.4,806.0,11,806.0,15929818,2023,28,2023-11,0.05298221356294408
ADANIENT,2959.35,2023-12-05 05:30:00,2999.9,2531.2,12,2531.2,22879079,2023,5,2023-12,0.16914902022756007
ADANIPORTS,1013.1,2023-12-05 05:30:00,1024.3,880.0,12,884.0,46564412,2023,5,2023-12,0.1530188357138793
EICHERMOT,4180.35,2023-12-04 05:30:00,4200.0,3916.0,12,3950.0,2824695,2023,4,2023-12,0.07430869654605288
ADANIENT,2531.2,2023-12-04 05:30:00,2595.0,2487.45,12,2549.95,5681516,2023,4,2023-12,0.07131671392897965
WIPRO,462.65,2023-12-22 05:30:00,466.3,434.0,12,435.3,23040407,2023,22,2023-12,0.06601382488479257
INFY,1612.75,2024-01-12 05:30:00,1618.0,1555.4,1,1562.0,26754401,2024,12,2024-01,0.07934011511176542
ONGC,252.5,2024-01-29 05:30:00,254.95,239.1,1,241.0,54127939,2024,29,2024-01,0.07882930997650073
CIPLA,1409.0,2024-01-23 05:30:00,1425.0,1368.7,1,1385.0,7556815,2024,23,2024-01,0.07046533713200387
RELIANCE,1448.05,2024-01-29 05:30:00,1452.5,1360.18,1,1364.5,23893438,2024,29,2024-01,0.07018801549058451
WIPRO,494.6,2024-01-15 05:30:00,529.0,489.15,1,511.95,63922132,2024,15,2024-01,0.06262756472231179
TRENT,3607.5,2024-02-07 05:30:00,3634.7,2955.0,2,3080.0,5846891,2024,7,2024-02,0.1886326194398682
BPCL,279.18,2024-02-02 05:30:00,286.2,258.0,2,258.68,77556082,2024,2,2024-02,0.09813947999842676
BPCL,311.83,2024-02-14 05:30:00,314.68,291.0,2,291.0,47987362,2024,14,2024-02,0.06736265616977577
M&M,1765.05,2024-02-15 05:30:00,1784.9,1668.1,2,1681.05,9887134,2024,15,2024-02,0.0651760659002445
TRENT,3841.95,2024-02-08 05:30:00,3937.4,3619.65,2,3735.35,7374486,2024,8,2024-02,0.06498960498960504
ADANIENT,3087.45,2024-03-14 05:30:00,3101.2,2880.0,3,2927.45,3759100,2024,14,2024-03,0.062366664372720315
TATASTEEL,149.7,2024-03-18 05:30:00,150.25,142.2,3,142.55,166913078,2024,18,2024-03,0.056457304163726185
BEL,196.85,2024-03-21 05:30:00,197.5,190.0,3,190.0,43152810,2024,21,2024-03,0.05014670578821012
ADANIPORTS,1267.85,2024-03-14 05:30:00,1276.0,1195.7,3,1210.0,7195603,2024,14,2024-03,0.04819974370633706
ITC,422.45,2024-03-13 05:30:00,438.0,421.15,3,435.0,101612428,2024,13,2024-03,0.04450488317468171
TECHM,1278.75,2024-04-26 05:30:00,1347.0,1241.0,4,1250.0,20431926,2024,26,2024-04,0.07430899773166422
AXISBANK,1127.0,2024-04-25 05:30:00,1133.95,1086.1,4,1100.0,46136295,2024,25,2024-04,0.05995767693392895
ONGC,279.85,2024-04-15 05:30:00,282.95,267.1,4,269.1,75063828,2024,15,2024-04,0.05325555137372984
SBIN,812.7,2024-04-25 05:30:00,814.4,769.65,4,770.65,36732974,2024,25,2024-04,0.051222351571594826
ICICIBANK,1160.15,2024-04-29 05:30:00,1163.45,1107.9,4,1108.0,28578063,2024,29,2024-04,0.04716129614586162
ADANIENT,3387.3,2024-05-23 05:30:00,3406.0,3135.55,5,3156.7,6979082,2024,23,2024-05,0.0784316846813864
ADANIENT,3411.35,2024-05-31 05:30:00,3434.45,3225.25,5,3225.25,6384589,2024,31,2024-05,0.06796587618376759
BRITANNIA,5061.6,2024-05-06 05:30:00,5205.45,4802.2,5,4818.95,2837757,2024,6,2024-05,0.06681279770686666
M&M,2514.6,2024-05-17 05:30:00,2557.95,2425.35,5,2425.35,9796445,2024,17,2024-05,0.06022978813112667
BEL,274.15,2024-05-21 05:30:00,283.0,271.05,5,283.0,127035921,2024,21,2024-05,0.05931221020092714
ADANIPORTS,1354.6,2024-06-05 05:30:00,1368.0,1160.6,6,1281.0,20879925,2024,5,2024-06,0.08459105648744925
TRENT,4903.8,2024-06-05 05:30:00,4932.05,4524.25,6,4684.0,1231971,2024,5,2024-06,0.08057247997532047
INDUSINDBK,1500.95,2024-06-05 05:30:00,1515.8,1372.35,6,1400.5,11014467,2024,5,2024-06,0.07865612648221343
HINDALCO,695.25,2024-06-05 05:30:00,700.65,607.0,6,627.0,25836374,2024,5,2024-06,0.07118095678299063
HEROMOTOCO,5658.5,2024-06-05 05:30:00,5775.2,5315.0,6,5315.0,2058534,2024,5,2024-06,0.06549042499105573
SHRIRAMFIN,2925.0,2024-07-26 05:30:00,3044.0,2690.0,7,2705.8,6439336,2024,26,2024-07,0.09182530795072785
MARUTI,12827.7,2024-07-09 05:30:00,12959.95,12264.05,7,12325.0,2114130,2024,9,2024-07,0.06687680894241321
TCS,4183.95,2024-07-12 05:30:00,4199.95,3971.3,7,3980.0,13509164,2024,12,2024-07,0.06632770089456375
TITAN,3466.85,2024-07-23 05:30:00,3490.0,3232.15,7,3255.1,7159507,2024,23,2024-07,0.06526448401419604
TATAMOTORS,1090.95,2024-07-25 05:30:00,1094.0,1024.35,7,1029.0,32766835,2024,25,2024-07,0.061545198014984814
TRENT,6275.35,2024-08-09 05:30:00,6373.85,5626.6,8,5738.85,6877196,2024,9,2024-08,0.11184245495295975
ONGC,329.1,2024-08-07 05:30:00,330.95,312.0,8,312.4,66110716,2024,7,2024-08,0.07513884351519118
