ticker,close,date,high,low,month,open,volume,year,day,Month_Year,Monthly_Return
ADANIPORTS,790.05,2023-10-09 05:30:00,818.8,785.0,10,815.0,5994282,2023,9,2023-10,-0.048991874811917024
AXISBANK,995.55,2023-10-04 05:30:00,1037.0,988.85,10,1035.35,22584212,2023,4,2023-10,-0.04370587387733538
M&M,1506.1,2023-10-26 05:30:00,1558.2,1500.0,10,1554.0,3343802,2023,26,2023-10,-0.04015040469058695
SHRIRAMFIN,1850.6,2023-10-04 05:30:00,1919.95,1841.5,10,1909.0,1340167,2023,4,2023-10,-0.03712375452014893
ADANIENT,2308.65,2023-10-23 05:30:00,2412.35,2301.8,10,2397.8,1483549,2023,23,2023-10,-0.035550913838120035
CIPLA,1170.65,2023-11-23 05:30:00,1270.0,1164.55,11,1270.0,7643376,2023,23,2023-11,-0.07931576877703495
COALINDIA,334.2,2023-11-21 05:30:00,338.5,328.85,11,335.0,15148068,2023,21,2023-11,-0.038964773544212794
SBIN,563.05,2023-11-17 05:30:00,574.5,562.1,11,574.5,37173221,2023,17,2023-11,-0.036945180877448136
ONGC,191.2,2023-11-21 05:30:00,193.95,191.0,11,193.0,10720353,2023,21,2023-11,-0.033611321708365005
AXISBANK,994.35,2023-11-17 05:30:00,1020.0,991.85,11,1014.9,13268353,2023,17,2023-11,-0.031178447897890482
ADANIPORTS,1012.15,2023-12-20 05:30:00,1083.85,1005.0,12,1078.0,8467564,2023,20,2023-12,-0.05758845437616389
ADANIENT,2783.85,2023-12-20 05:30:00,2968.0,2766.2,12,2946.0,3417739,2023,20,2023-12,-0.05351466213344669
DRREDDY,1094.7,2023-12-11 05:30:00,1115.6,1074.0,12,1100.0,9493150,2023,11,2023-12,-0.05038255347941489
TATASTEEL,129.75,2023-12-20 05:30:00,136.15,128.75,12,135.9,39495961,2023,20,2023-12,-0.04172821270310201
COALINDIA,352.15,2023-12-20 05:30:00,371.8,350.0,12,369.0,23224408,2023,20,2023-12,-0.040332470363809825
HDFCBANK,1537.5,2024-01-17 05:30:00,1596.8,1528.4,1,1570.0,85072618,2024,17,2024-01,-0.08435815740106611
TECHM,1322.05,2024-01-25 05:30:00,1356.35,1312.05,1,1348.0,8424862,2024,25,2024-01,-0.06101068930004627
INDUSINDBK,1441.7,2024-01-23 05:30:00,1547.9,1428.05,1,1535.0,10097057,2024,23,2024-01,-0.06099586413521341
TRENT,3054.95,2024-01-30 05:30:00,3275.0,3029.05,1,3263.0,1206541,2024,30,2024-01,-0.05897301626416962
COALINDIA,375.3,2024-01-23 05:30:00,404.8,373.65,1,403.5,16406737,2024,23,2024-01,-0.058926780341023055
HINDALCO,510.1,2024-02-13 05:30:00,540.0,496.35,2,539.0,46100123,2024,13,2024-02,-0.12421667095888067
COALINDIA,432.8,2024-02-12 05:30:00,457.45,430.05,2,457.0,19472346,2024,12,2024-02,-0.051293292415607095
SHRIRAMFIN,2372.4,2024-02-27 05:30:00,2509.35,2257.0,2,2475.0,4102754,2024,27,2024-02,-0.04536949479910668
HEROMOTOCO,4687.5,2024-02-12 05:30:00,4949.05,4627.55,2,4949.05,1321957,2024,12,2024-02,-0.04509202766432063
POWERGRID,279.55,2024-02-28 05:30:00,293.65,278.4,2,291.5,18824161,2024,28,2024-02,-0.04427350427350418
POWERGRID,264.3,2024-03-13 05:30:00,283.9,261.8,3,283.3,39389523,2024,13,2024-03,-0.07311941083640183
COALINDIA,417.05,2024-03-13 05:30:00,449.9,410.0,3,449.3,17803423,2024,13,2024-03,-0.07177832183396393
ADANIPORTS,1209.55,2024-03-13 05:30:00,1308.0,1188.1,3,1307.0,8670336,2024,13,2024-03,-0.0705064166602628
ADANIENT,2906.2,2024-03-13 05:30:00,3138.05,2850.15,3,3125.0,3407040,2024,13,2024-03,-0.06927141713370699
BEL,190.3,2024-03-13 05:30:00,205.6,188.2,3,204.1,41620003,2024,13,2024-03,-0.06829865361077103
KOTAKBANK,1642.45,2024-04-25 05:30:00,1697.8,1602.0,4,1665.0,66179079,2024,25,2024-04,-0.10872042543954852
BAJFINANCE,6731.2,2024-04-26 05:30:00,7000.0,6691.5,4,7000.0,5814723,2024,26,2024-04,-0.07727316344295332
HCLTECH,1387.4,2024-04-29 05:30:00,1436.0,1381.0,4,1415.0,11493223,2024,29,2024-04,-0.05865590121111364
TATACONSUM,1096.52,2024-04-24 05:30:00,1123.73,1090.45,4,1092.42,6368333,2024,24,2024-04,-0.05385956132327818
APOLLOHOSP,5968.35,2024-04-29 05:30:00,6200.0,5733.0,4,6200.0,2785015,2024,29,2024-04,-0.04637618636755825
TATAMOTORS,959.75,2024-05-13 05:30:00,1008.7,947.2,5,1005.0,58974762,2024,13,2024-05,-0.08302679978980565
TITAN,3280.15,2024-05-06 05:30:00,3488.8,3257.0,5,3476.0,6891728,2024,6,2024-05,-0.0718045219162965
LT,3275.45,2024-05-09 05:30:00,3377.0,3266.65,5,3312.75,12120574,2024,9,2024-05,-0.06062778725784024
TATASTEEL,164.15,2024-05-30 05:30:00,172.0,163.35,5,172.0,108813875,2024,30,2024-05,-0.05796269727403158
ASIANPAINT,2710.1,2024-05-09 05:30:00,2853.95,2703.8,5,2828.0,3547959,2024,9,2024-05,-0.04684697358702927
ADANIPORTS,1248.95,2024-06-04 05:30:00,1558.0,1188.0,6,1558.0,52109624,2024,4,2024-06,-0.21149657501815078
BEL,255.55,2024-06-04 05:30:00,312.0,230.05,6,312.0,268052657,2024,4,2024-06,-0.19802290914796794
ADANIENT,2941.25,2024-06-04 05:30:00,3520.0,2733.95,6,3520.0,20306909,2024,4,2024-06,-0.19312804334407796
ONGC,236.3,2024-06-04 05:30:00,285.0,223.0,6,285.0,72779900,2024,4,2024-06,-0.16825061598028868
NTPC,331.25,2024-06-04 05:30:00,391.9,313.95,6,391.9,84042244,2024,4,2024-06,-0.15454313425216948
WIPRO,505.8,2024-07-22 05:30:00,526.75,501.55,7,521.0,38007284,2024,22,2024-07,-0.09224694903086872
M&M,2732.0,2024-07-10 05:30:00,2930.0,2697.9,7,2930.0,14481615,2024,10,2024-07,-0.06614253973679718
TRENT,5308.5,2024-07-18 05:30:00,5660.25,5282.95,7,5649.9,1342486,2024,18,2024-07,-0.05999327112071262
TATASTEEL,157.77,2024-07-19 05:30:00,166.09,157.2,7,166.0,77987514,2024,19,2024-07,-0.05163500841548452
AXISBANK,1175.9,2024-07-25 05:30:00,1200.0,1155.5,7,1200.0,32979871,2024,25,2024-07,-0.051119628807746564
TATAMOTORS,1016.45,2024-08-05 05:30:00,1065.0,1014.05,8,1059.95,26651144,2024,5,2024-08,-0.07313181051383766
ONGC,310.25,2024-08-05 05:30:00,323.3,306.0,8,320.35,37986023,2024,5,2024-08,-0.06013329294153291
ADANIPORTS,1493.85,2024-08-05 05:30:00,1563.45,1471.55,8,1540.0,7147230,2024,5,2024-08,-0.05928841309823685
TATASTEEL,149.82,2024-08-05 05:30:00,154.0,149.0,8,153.66,102883971,2024,5,2024-08,-0.05309063329541153
HINDALCO,614.3,2024-08-05 05:30:00,633.85,609.25,8,628.05,13451475,2024,5,2024-08,-0.052079314867679916
TATAMOTORS,976.3,2024-09-11 05:30:00,1011.55,971.25,9,1000.0,36140411,2024,11,2024-09,-0.057443521915427675
HDFCLIFE,702.9,2024-09-10 05:30:00,732.15,701.2,9,730.0,7366304,2024,10,2024-09,-0.04471323729274257
SBIN,782.5,2024-09-06 05:30:00,812.9,777.0,9,811.5,40220096,2024,6,2024-09,-0.04427480916030535
HEROMOTOCO,5712.4,2024-09-30 05:30:00,5890.0,5690.5,9,5890.0,1346723,2024,30,2024-09,-0.04111727529858089
BEL,272.7,2024-09-19 05:30:00,284.85,267.1,9,284.0,44560220,2024,19,2024-09,-0.03588474456425683
INDUSINDBK,1041.6,2024-10-25 05:30:00,1166.75,1025.5,10,1163.0,56935420,2024,25,2024-10,-0.18628178586773958
BAJAJ-AUTO,10119.45,2024-10-17 05:30:00,11287.35,10071.0,10,11222.2,3668914,2024,17,2024-10,-0.12890646856532906
TATACONSUM,1017.05,2024-10-21 05:30:00,1059.45,986.35,10,1047.0,11484692,2024,21,2024-10,-0.06970043448433572
HINDUNILVR,2505.1,2024-10-24 05:30:00,2647.0,2452.6,10,2647.0,9216267,2024,24,2024-10,-0.057985184070996176
BPCL,348.85,2024-10-03 05:30:00,361.6,347.0,10,353.75,20754875,2024,3,2024-10,-0.052681602172437114
ADANIENT,2183.65,2024-11-21 05:30:00,2539.35,2155.05,11,2539.35,21796668,2024,21,2024-11,-0.22606769448874708
ADANIPORTS,1114.65,2024-11-21 05:30:00,1160.7,995.65,11,1160.7,46926687,2024,21,2024-11,-0.13569573139999225
HINDALCO,648.1,2024-11-07 05:30:00,687.7,646.3,11,682.0,26671445,2024,7,2024-11,-0.08486303304151377
ASIANPAINT,2543.1,2024-11-11 05:30:00,2598.75,2506.0,11,2565.05,8855022,2024,11,2024-11,-0.08173102962682122
BRITANNIA,5027.55,2024-11-12 05:30:00,5426.9,5005.0,11,5420.0,2441209,2024,12,2024-11,-0.07490822776075723
